id;name;google_docs_id;document_text;created_at;updated_at
1;capability;port;Kids Tools Georgia;2020-05-10T02:41:55;2020-05-10T15:30:33
2;Handcrafted Cotton Chair Outdoors;Ohio Steel;District;2020-05-10T06:03:31;2020-05-09T23:18:07
3;Chair unleash;Fish Guyana Dollar Human;Yen European Monetary Unit (E.M.U.-6);2020-05-10T01:14:36;2020-05-10T09:46:26
4;paradigm Georgia;Minnesota;Hungary;2020-05-10T09:15:34;2020-05-10T13:21:56
5;Ergonomic;Music;evolve Pizza deposit;2020-05-09T18:53:26;2020-05-09T22:50:18
6;Functionality;teal SAS;Computers Awesome;2020-05-10T11:53:16;2020-05-10T13:12:01
7;Avenue;Swedish Krona;De-engineered;2020-05-10T13:37:37;2020-05-10T02:22:53
8;azure Music Tasty Metal Computer;Handmade Frozen Soap;Usability optical;2020-05-10T09:45:00;2020-05-10T06:34:40
9;Small calculating;Toys Handcrafted;Handcrafted Costa Rica;2020-05-10T02:41:43;2020-05-10T00:31:04
10;deliverables Program Fresh;repurpose;Refined interface;2020-05-10T01:49:58;2020-05-09T17:24:12
